CONCLIENTE,dataNascimentoCliente,sexoCliente,CONINSCRICAO,CONPRODUTO,periodicidadeCobranca,parcelamento,CONITEMCONTRATADO,codigoSistemaItemContratado,dataInicioVigenciaCobertura,prazoContribuicao,prazoCobertura,prazoDecrescimoItemContratado,prazoCertoRendaItemContratado,prazoMinimoGarantidoRendaItemContratado,indiceReajusteItemContratado,valorCapitalSeguradoItemContratadoInicial,CONITEMCONTRATADOBENEFICIARIO,percentualParticipacaoBeneficio,CONBENEFICIARIO,dataNascimentoBeneficiario,sexoBeneficiario
7590581,1987-06-14,M,16294787,1073,MENSAL,1,95827042,204373,2022-01-06,9999,9999,,,,IPCA,400000.0,1886862.0,50.0,3632610.0,1953-12-13,FEMININO
7590581,1987-06-14,M,16294787,1073,MENSAL,1,95827042,204373,2022-01-06,9999,9999,,,,IPCA,400000.0,1887066.0,50.0,3632611.0,2017-04-17,MASCULINO
7590580,1985-02-02,M,16294793,1072,MENSAL,1,95827052,204377,2022-01-06,15,15,,,,IPCA,500000.0,1891005.0,100.0,3632609.0,1984-07-08,FEMININO
7594111,1987-11-23,F,16295740,896,MENSAL,1,95827058,203046,2022-01-06,9999,9999,20.0,,,IPCA,200000.0,,,,,
7593436,1980-07-21,M,16295231,896,MENSAL,1,95827068,203046,2022-01-06,30,9999,20.0,,,IPCA,400000.0,1892329.0,100.0,3632888.0,1976-11-01,FEMININO
1120144,1981-08-20,M,16296406,1072,MENSAL,1,95827098,204377,2022-01-06,20,20,,,,IPCA,4000000.0,1893201.0,100.0,3403907.0,1983-06-09,NÃO INFORMADO
7590585,1952-09-18,M,16294789,1074,ANUAL,1,95827099,204374,2022-01-06,10,9999,,,,IPCA,400000.0,1893354.0,50.0,3632613.0,1974-06-17,FEMININO
7590585,1952-09-18,M,16294789,1074,ANUAL,1,95827099,204374,2022-01-06,10,9999,,,,IPCA,400000.0,1893508.0,50.0,3632612.0,1981-07-30,MASCULINO
2603709,1992-11-28,F,16294695,1072,MENSAL,1,95827107,204377,2022-01-06,30,30,,,,IPCA,400000.0,,,,,
1937794,1977-09-01,F,16294683,1072,MENSAL,1,95827113,204377,2022-01-06,20,20,,,,IPCA,700000.0,,,,,
2533456,1988-03-18,M,16294861,1072,MENSAL,1,95827120,204377,2022-02-16,20,20,,,,IPCA,400000.0,1909154.0,100.0,3388768.0,1988-02-29,NÃO INFORMADO
5682464,1973-11-10,M,16295776,1072,MENSAL,1,95827128,204377,2022-02-11,20,20,,,,IPCA,1000000.0,,,,,
3657749,1976-06-02,M,16294668,1072,MENSAL,1,95827136,204377,2022-01-21,15,15,,,,IPCA,500000.0,1910786.0,20.0,673734.0,1979-10-29,NÃO INFORMADO
3657749,1976-06-02,M,16294668,1072,MENSAL,1,95827136,204377,2022-01-21,15,15,,,,IPCA,500000.0,1910887.0,40.0,3632542.0,2002-05-06,MASCULINO
3657749,1976-06-02,M,16294668,1072,MENSAL,1,95827136,204377,2022-01-21,15,15,,,,IPCA,500000.0,1911143.0,40.0,3632541.0,2013-01-10,MASCULINO
5958180,1982-04-08,F,16294771,1072,MENSAL,1,95827142,204377,2022-01-22,25,25,,,,IPCA,1000000.0,,,,,
578445,1982-09-03,F,16294820,1072,MENSAL,1,95827148,204377,2022-01-06,20,20,,,,IPCA,2000000.0,1928858.0,50.0,3632632.0,2018-06-16,MASCULINO
578445,1982-09-03,F,16294820,1072,MENSAL,1,95827148,204377,2022-01-06,20,20,,,,IPCA,2000000.0,1929674.0,50.0,2726654.0,2014-12-11,MASCULINO
7593148,1979-08-02,M,16294985,1072,MENSAL,1,95827198,204377,2022-01-06,25,25,,,,IPCA,400000.0,,,,,
7594115,1990-05-23,M,16295784,1072,MENSAL,1,95827206,204377,2022-01-06,20,20,,,,IPCA,600000.0,,,,,
6082617,1985-05-10,M,16295742,1075,MENSAL,1,95827214,204375,2022-01-06,9999,9999,10.0,,,IPCA,700000.0,1944639.0,100.0,3444468.0,1985-10-28,MASCULINO
5888801,1956-05-12,F,16295808,1073,ANUAL,1,95827218,204373,2022-01-06,30,9999,,,,IPCA,1300000.0,1921730.0,100.0,3632840.0,1980-12-19,MASCULINO
1435060,1987-10-20,F,16295124,1072,MENSAL,1,95827222,204377,2022-01-06,25,25,,,,IPCA,1500000.0,1921922.0,100.0,3632754.0,1986-04-03,NÃO INFORMADO
7594300,1960-03-23,F,16296404,1072,MENSAL,1,95827227,204377,2022-01-06,10,10,,,,IPCA,400000.0,1921578.0,50.0,3632859.0,1994-02-06,MASCULINO
7594300,1960-03-23,F,16296404,1072,MENSAL,1,95827227,204377,2022-01-06,10,10,,,,IPCA,400000.0,1921884.0,50.0,3632858.0,1990-12-28,MASCULINO
1649750,1974-09-02,F,16295127,1072,MENSAL,1,95827229,204377,2022-01-06,20,20,,,,IPCA,500000.0,,,,,
